Simulation,%_Obs_Direct_to_MDTF0x22,%_of_Fires_Focused_on_Enemy_Artillery0x22,ACE_Fusion_Expertise,ACE_Fusion_Personnel,ACE_Fusion_Technology,Average_Launch_and_Transit_Time,Crews_Available,ED_Expertise,ED_Personnel,ED_Technology,Frequencies_Per_Satellite,Ground_Control_Stations_Available,Initial_UAS,MDTF_Allocation,MDTF_PEF_Expertise,MDTF_PEF_Technology,NOISE_SEED,PE_Expertise,PE_Technology,PED_Personnel_Total,Satellites_Available,Enemy_AAA_Losses,Enemy_Anti_Aircraft,Enemy_Artillery,Enemy_Artillery_Losses,Friendly_UAS_Losses,HIMARS_Losses,Satellite_Losses,AAA_to_UAS_Loss_Ratio,Artillery_Loss_Ratio,ED_Overflow_Ratio,ED_Overwork,Enemy_AAA_Percent_Loss,Enemy_Artillery_Percent_Loss,HIMARS_Percent_Loss,MDTF_Overflow_Ratio,MDTF_PE_Limit,PE_Overflow_Ratio,PE_Overwork,Satellite_Percent_Loss,Total_Loss_Ratio,Total_Overflow_Ratio,UAS_Loss_Percent
24.5,0.00125,0.0625,2.0275,14.813,1.035,3.05,43.7,1.7275,4.2425,2.4925,1.27,31.9,48.275,0.01875,1.075,2.085,24.5,2.9125,1.545,33.963,7.685,40.213,9.7868,45.803,4.1965,19.25,19.917,6.2083,2.1857,0.21061,0.11417,0.00063249,80.426,8.3931,99.583,5.01E-07,1.4273,0.0030283,0,80.785,1.1427,0.1172,38.5
72.5,0.00375,0.7825,3.1525,17.938,1.785,3.47,37.1,1.3375,6.9725,2.8075,4.07,43.5,23.225,0.47875,2.855,2.615,24.5,3.3625,1.115,16.813,10.135,11.985,38.015,7.2516,42.748,39.917,17.396,7.8125,0.30046,2.4944,0.11491,1.10E-14,23.969,85.497,86.979,2.55E-07,60.092,0.23786,4.58E-16,77.084,0.95777,0.35277,79.833
120.5,0.00625,0.8175,1.8325,29.188,2.725,4.47,27.9,1.9225,9.8975,2.1325,3.09,37.7,48.125,0.48375,1.085,1.165,24.5,1.6825,1.995,11.387,9.435,7.9719,42.028,15.456,34.544,39.521,18.583,7.3958,0.20131,1.878,0.0060276,0,15.944,69.088,92.917,6.32E-06,6.9631,0.46334,5.79E-15,78.387,0.73281,0.46937,79.042
168.5,0.00875,0.0225,1.3825,19.813,2.665,4.19,28.7,2.8375,4.6325,2.3575,2.65,44.5,25.925,0.24625,1.945,2.765,24.5,3.0925,1.485,6.8375,12.725,47.702,2.2981,45.863,4.1367,33.563,19.938,10.292,1.4467,0.2088,0.015107,0,95.404,8.2734,99.688,8.02E-06,9.055,0.31145,0.030947,80.878,0.97725,0.32657,67.125
216.5,0.01125,0.6125,3.1975,15.188,2.705,2.73,47.9,3.9925,13.408,2.8975,1.75,46.3,38.825,0.14375,1.245,1.405,24.5,2.4475,2.865,6.1375,1.105,2.7529,47.247,45.508,4.4917,4.25,19.896,0.8125,0.68742,0.22656,0.00079629,0,5.5057,8.9833,99.479,1.17E-05,1.5433,0.0037483,0,73.529,0.28866,0.0045563,8.5
264.5,0.01375,0.8025,1.7725,25.688,1.715,2.39,30.1,1.8625,3.1375,3.7375,4.11,29.3,20.525,0.37625,2.885,2.875,24.5,2.5975,2.615,10.863,10.555,11.703,38.297,7.812,42.188,39.958,17.604,8.3125,0.29315,2.4378,0.31001,5.51E-14,23.406,84.376,88.021,6.08E-06,33.899,0.099561,3.44E-17,78.754,0.93985,0.40957,79.917
312.5,0.01625,0.0775,2.0725,29.563,2.715,4.27,11.7,2.8975,4.8275,1.9525,1.83,44.3,37.925,0.20875,2.245,2.015,24.5,1.2175,2.595,28.888,13.985,47.254,2.7459,28.344,21.656,19.854,19.5,11.25,2.599,1.1359,0.1049,0.0095579,94.508,43.312,97.5,6.69E-06,27.279,0.0095273,0,80.443,1.8314,0.11444,39.708
360.5,0.01875,0.3075,1.5325,16.563,1.225,3.89,15.3,1.8925,6.8425,2.5075,2.73,47.1,29.225,0.16625,2.315,1.455,24.5,2.8225,2.535,16.112,3.555,35.831,14.169,30.761,19.239,19.417,19.75,2.625,1.9189,0.9813,0.015101,5.67E-15,71.663,38.477,98.75,1.64E-05,9.0227,0.0041916,0,73.84,1.4114,0.019309,38.833
408.5,0.02125,0.1325,3.8425,21.813,1.095,5.03,46.5,3.5275,8.6625,2.4475,1.49,45.9,38.075,0.33625,1.385,2.975,24.5,1.8025,1.285,36.412,13.635,49.805,0.19489,6.9589,43.041,20.188,18.375,11.083,2.6101,2.3703,0.010886,0,99.61,86.082,91.875,7.53E-06,50.449,0.021292,5.22E-22,81.286,2.4645,0.032185,40.375
456.5,0.02375,0.7175,2.2675,5.0625,2.405,2.01,32.3,3.6175,10.938,2.7175,2.89,32.5,46.775,0.25625,1.705,1.935,24.5,3.8875,2.225,25.037,5.095,34.541,15.459,1.6126,48.387,33.104,14.479,4.125,1.0421,3.5062,0.005953,0,69.083,96.775,72.396,1.86E-05,21.167,0.0040984,0,80.962,1.7474,0.01007,66.208
